Score,Title,Agency,CloseDate,DaysLeft,OppNumber,Category,Eligibility,URL,MissionHits,ProgramHits,TechHits,MissionPts,ProgramPts,TechPts,ScoreBreakdown
26,"FY25 ONR Office Of Naval Research (ONR) Science, Technology, Engineering, and Mathematics(STEM) Education and Workforce Program",Office of Naval Research,06/30/2026,259,N0001425SF006,Not specified,Not specified,Not specified,2,0,0,26,0,0,"{""MissionHits"": 2, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 26, ""ProgramPts"": 0, ""TechPts"": 0}"
26,National Cancer Institute Youth Enjoy Science Research Education Program (R25 Clinical Trial Not Allowed),National Institutes of Health,09/28/2026,349,RFA-CA-24-026,Not specified,Not specified,Not specified,2,0,0,26,0,0,"{""MissionHits"": 2, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 26, ""ProgramPts"": 0, ""TechPts"": 0}"
26,Growing Great Ideas: Research Education Course in Product Development and Entrepreneurship for Life Science Researchers,National Institutes of Health,,,RFA-DA-27-007,Not specified,Not specified,Not specified,2,0,0,26,0,0,"{""MissionHits"": 2, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 26, ""ProgramPts"": 0, ""TechPts"": 0}"
22,UCEDD National Training Initiative to Support Youth with Intellectual and Developmental Disabilities involved with the Juvenile Justice System,Administration for Community Living,,,HHS-2022-ACL-AOD-DDTI-0076,Not specified,Not specified,Not specified,1,0,1,18,0,4,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
22,Training-based Workforce Development for Advanced Cyberinfrastructure  (CyberTraining),U.S. National Science Foundation,01/15/2026,93,23-520,Not specified,Not specified,Not specified,1,0,1,18,0,4,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
22,Modules for Enhancing Biomedical Research Workforce Training (R25 - Independent Clinical Trial Not Allowed),National Institutes of Health,01/27/2026,105,PAR-24-040,Not specified,Not specified,Not specified,1,0,1,18,0,4,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
22,"Strengthening and Development of Sustainable Regional Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation",Centers for Disease Control-GHC,,,CDC-RFA-JG-26-0108,Not specified,Not specified,Not specified,1,0,1,18,0,4,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
22,"Strengthening and Developing of Sustainable Global Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation",Centers for Disease Control-GHC,,,CDC-RFA-JG-26-0059,Not specified,Not specified,Not specified,1,0,1,18,0,4,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
22,EducationUSA Fair 2025,U.S. Mission to Jordan,,,PAS-JOR-FY25-002,Not specified,Not specified,Not specified,1,0,1,18,0,4,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
22,EONS 2018: Appendix E Minority University Research and Education Project (MUREP) for Sustainability and Innovation Collaborative &ndash; (MUSIC) ,National Aeronautics and Space Administration,,,NNH18ZHA002N-MUSIC,Not specified,Not specified,Not specified,1,0,1,18,0,4,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
