Title,Agency,CloseDate,DaysLeft,OppNumber,Category,Eligibility,URL,Score,ScoreBreakdown
"FY25 ONR Office Of Naval Research (ONR) Science, Technology, Engineering, and Mathematics(STEM) Education and Workforce Program",Office of Naval Research,06/30/2026,259.0,N0001425SF006,Not specified,Not specified,Not specified,26,"{""MissionHits"": 2, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 26, ""ProgramPts"": 0, ""TechPts"": 0}"
Growing Great Ideas: Research Education Course in Product Development and Entrepreneurship for Life Science Researchers,National Institutes of Health,,,RFA-DA-27-007,Not specified,Not specified,Not specified,26,"{""MissionHits"": 2, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 26, ""ProgramPts"": 0, ""TechPts"": 0}"
National Cancer Institute Youth Enjoy Science Research Education Program (R25 Clinical Trial Not Allowed),National Institutes of Health,09/28/2026,349.0,RFA-CA-24-026,Not specified,Not specified,Not specified,26,"{""MissionHits"": 2, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 26, ""ProgramPts"": 0, ""TechPts"": 0}"
UCEDD National Training Initiative to Support Youth with Intellectual and Developmental Disabilities involved with the Juvenile Justice System,Administration for Community Living,,,HHS-2022-ACL-AOD-DDTI-0076,Not specified,Not specified,Not specified,22,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
Modules for Enhancing Biomedical Research Workforce Training (R25 - Independent Clinical Trial Not Allowed),National Institutes of Health,01/27/2026,105.0,PAR-24-040,Not specified,Not specified,Not specified,22,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
"Strengthening and Development of Sustainable Regional Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation",Centers for Disease Control-GHC,,,CDC-RFA-JG-26-0108,Not specified,Not specified,Not specified,22,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
"Strengthening and Developing of Sustainable Global Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation",Centers for Disease Control-GHC,,,CDC-RFA-JG-26-0059,Not specified,Not specified,Not specified,22,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
EducationUSA Fair 2025,U.S. Mission to Jordan,,,PAS-JOR-FY25-002,Not specified,Not specified,Not specified,22,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
EONS 2018: Appendix E Minority University Research and Education Project (MUREP) for Sustainability and Innovation Collaborative &ndash; (MUSIC) ,National Aeronautics and Space Administration,,,NNH18ZHA002N-MUSIC,Not specified,Not specified,Not specified,22,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
Annual Program Statement for U.S. Presentation at International Art Biennales,Bureau Of Educational and Cultural Affairs,01/01/2099,26742.0,DFOP0017204,Not specified,Not specified,Not specified,22,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
Training-based Workforce Development for Advanced Cyberinfrastructure  (CyberTraining),U.S. National Science Foundation,01/15/2026,93.0,23-520,Not specified,Not specified,Not specified,22,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
Department of Defense Research and Education Program for Historically Black Colleges and Universities and Minority-Serving Institutions (HBCU/MI),Dept of the Army -- Materiel Command,07/31/2029,1386.0,W911NF24S0009,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Research Experiences and/or Mentoring Networks through Research Education to Enhance Clinician-Scientists' Participation in NIDCDs Research (R25 Clinical Trial Not Allowed),National Institutes of Health,09/29/2027,715.0,PAR-25-020,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NIDCD's Mentored Research Education Pathway for Otolaryngology Residents and Medical Students (R25 - Clinical Trial Not Allowed),National Institutes of Health,09/29/2026,350.0,PAR-24-127,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
"Office of Elementary and Secondary Education (OESE): Office of Safe and Supportive Schools: School-Based Mental Health Services (SBMH) Grant Program, Assistance Listing Number (ALN) number 84.184H",Department of Education,10/29/2025,15.0,ED-GRANTS-092925-001,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Alcohol and Other Substance Use Research Education Programs for Health Professionals (R25 Clinical Trial Not Allowed),National Institutes of Health,05/25/2026,223.0,PAR-23-240,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
OJJDP FY25 Community and Schools Youth Drug Prevention Program,Office of Juvenile Justice Delinquency Prevention ,10/27/2025,13.0,O-OJJDP-2025-172454,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Education Programs in Atmospheric and Geospace Sciences,U.S. National Science Foundation,,,PD-21-7700,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
IUSE: Innovation in Two-Year College STEM Education,U.S. National Science Foundation,12/10/2025,57.0,23-584,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
"Office of Elementary and Secondary Education (OESE): Office of Safe and Supportive Schools: Mental Health Service Professional (MHSP) Demonstration Grant Program, Assistance Listing Number 84.184X",Department of Education,10/29/2025,15.0,ED-GRANTS-092925-002,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Summer Research Education Experience Program (R25 Clinical Trial Not Allowed),National Institutes of Health,05/07/2027,570.0,PAR-24-204,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NIH Science Education Partnership Award (SEPA),National Institutes of Health,,,FOR-GM-27-001,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
FY 2024 &ndash; 2026 - Broad Agency Announcement (BAA) for the Office of Education,DOC NOAA - ERA Production,09/30/2026,351.0,NOAA-SEC-OED-2024-28060,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Educational Funding Opportunity: Expanding education on skin lightening products (U01) Clinical Trials Not Allowed,Food and Drug Administration,,,FOR-FD-25-013,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
OMHHE Educational Funding Opportunity: Expanding education on skin lightening products (U01) Clinical Trials Not Allowed,Food and Drug Administration,,,FOR-FD-24-017,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Education and Broadening Participation in Earth Sciences,U.S. National Science Foundation,,,PD-25-1575,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
